make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
Toyota,Yaris Hatchback G 1.0,2021,31000,Petrol,996,Automatic,Lahore,4850000.0
Honda,Civic 6th Generation VTi Automatic 1.6,1997,170000,Petrol,1600,Automatic,Lahore,1150000.0
Toyota,Corolla Altis X CVT-i 1.8,2021,3000,Petrol,1800,Automatic,Hyderabad,6500000.0
Honda,HR-V VTi-S,2023,49000,Petrol,1500,Automatic,Multan,6750000.0
Daihatsu,Mira L SA III,2020,60500,Petrol,660,Automatic,Karachi,3275000.0
Suzuki,Cultus VXRi,2008,102508,Petrol,1000,Manual,Wah cantt,890000.0
Honda,Civic Rebirth VTi 1.8 i-VTEC,2014,150000,Petrol,1800,Manual,Karachi,2860000.0
Daihatsu,Move,2017,60000,Petrol,660,Automatic,Karachi,2525000.0
Toyota,Yaris Sedan ATIV CVT 1.3,2021,76000,Petrol,1300,Automatic,Lahore,4550000.0
Honda,Civic 7th Generation (Facelift) VTi Prosmatec 1.6,2005,280,Petrol,1600,Automatic,Faisalabad,1595000.0
Nissan,Caravan,2007,75000,Petrol,2500,Automatic,Lahore,1639999.0
Hyundai,Elantra GLS,2021,55000,Petrol,2000,Automatic,Lahore,5450000.0
Toyota,Corolla Altis Grande CVT-i 1.8,2019,94573,Petrol,1800,Automatic,Lahore,6170000.0
Honda,City 1.3 i-VTEC,2012,125000,Petrol,1300,Manual,Lahore,2685000.0
Toyota,Corolla 9th (E120) Generation GLi 1.3,2008,300000,Petrol,1300,Manual,Gujranwala,385000.0
Honda,Civic Oriel 1.8 i-VTEC CVT,2018,134000,Petrol,1800,Automatic,Mirpur A.K.,4950000.0
Hyundai,Tucson FWD A/T GLS Sport,2025,1200,Petrol,2000,Automatic,Lahore,8450000.0
Toyota,Alphard,2018,36000,Hybrid,2500,Automatic,Lahore,34000000.0
Honda,Civic VTi Prosmatec 1.8 i-VTEC,2015,215000,Petrol,1800,Automatic,Sahiwal,3500000.0
Toyota,Prado TX Limited 2.7,2020,18000,Petrol,2700,Automatic,Lahore,31500000.0
Suzuki,Alto VXR,2021,45000,Petrol,660,Manual,Sargodha,2425000.0
Toyota,Corolla 2.0D,2009,175000,Diesel,2000,Manual,Sargodha,2425000.0
Suzuki,Cultus EURO II,2015,99000,Petrol,1000,Manual,Sargodha,1475000.0
Toyota,Corolla GLi 1.3 VVTi,2018,90000,Petrol,1300,Manual,Sargodha,4075000.0
Hyundai,Elantra GLS,2022,61000,Petrol,2000,Automatic,Islamabad,6150000.0
Toyota,Corolla GLi 1.3 VVTi,2017,83000,Petrol,1300,Manual,Lahore,3900000.0
Suzuki,Every Wagon,2020,92000,Petrol,660,Automatic,Sialkot,3750000.0
Suzuki,Every Join,2019,129000,Petrol,660,Automatic,Sialkot,2900000.0
Daihatsu,Cast Style X,2022,20000,Petrol,660,Automatic,Sialkot,3900000.0
Suzuki,Wagon R Hybrid FX,2022,75000,Hybrid,660,Automatic,Sialkot,3800000.0
Daihatsu,Move L,2021,50400,Petrol,660,Automatic,Sialkot,3450000.0
Toyota,Prado TX 2.7,2020,28000,Petrol,2700,Automatic,Gujranwala,27000000.0
Honda,City 6th Generation 1.5L ASPIRE CVT,2021,52000,Petrol,1500,Automatic,Lahore,4820000.0
Honda,City 1.3 i-VTEC,2019,63000,Petrol,1300,Manual,Karachi,3250000.0
Toyota,Corolla GLi 1.3 VVTi,2014,115000,Petrol,1300,Manual,Lahore,3750000.0
