,make,model,year,mileage,fuel_type,engine_capacity,transmission,city,price
242,Daihatsu,Mira,2021,"4,000 km",Petrol,660 cc,Automatic,Islamabad,3700000.0
243,,,2018,"173,197 km",Hybrid,1500 cc,Automatic,Peshawar,5675000.0
244,Toyota,Corolla Cross,2024,"7,500 km",Hybrid,1800 cc,Automatic,Islamabad,9400000.0
245,,,2015,"123,850 km",Petrol,1300 cc,Automatic,Lahore,4000000.0
246,Toyota,Fortuner,2017,"130,000 km",Petrol,2700 cc,Automatic,Islamabad,10500000.0
247,Honda,Insight,2021,"11,000 km",Hybrid,1500 cc,Automatic,Islamabad,9800000.0
248,Toyota,Fortuner,2022,"34,000 km",Diesel,2800 cc,Automatic,Islamabad,16800000.0
249,Toyota,Corolla,2018,"45,798 km",Petrol,1300 cc,Manual,Islamabad,4700000.0
250,Honda,Civic,2021,"45,000 km",Petrol,1800 cc,Automatic,Islamabad,6280000.0
251,Toyota,Corolla,2011,"100,109 km",Petrol,1300 cc,Manual,Islamabad,2295000.0
252,Toyota,Raize,2020,"90,000 km",Petrol,1000 cc,Automatic,Islamabad,5050000.0
253,Honda,Freed,2014,"70,000 km",Hybrid,1500 cc,Automatic,Rawalpindi,4200000.0
254,Toyota,Fortuner,2019,"85,000 km",Diesel,2800 cc,Automatic,Islamabad,13300000.0
255,Mazda,RX8,2003,"65,000 km",Petrol,3000 cc,Automatic,Lahore,2750000.0
256,Chery,Tiggo 4 Pro,2022,"56,000 km",Petrol,1498 cc,Automatic,Islamabad,5180000.0
257,Suzuki,Alto,2023,"32,300 km",Petrol,660 cc,Manual,Multan,2680000.0
258,Honda,Civic,2018,"65,000 km",Petrol,998 cc,Manual,Islamabad,4179999.0
259,Suzuki,Wagon R,2017,"74,000 km",Petrol,1000 cc,Manual,Lahore,2280000.0
260,Toyota,Yaris Sedan,2021,"46,275 km",Petrol,1500 cc,Automatic,Mardan,4825000.0
261,Honda,City 6th Generation,2024,"25,000 km",Petrol,1200 cc,Automatic,Islamabad,4875000.0
262,Chevrolet,Spark,2013,"76,000 km",Petrol,1000 cc,Manual,Multan,2100000.0
263,Honda,Civic 11th Generation,2024,"9,000 km",Petrol,1500 cc,Automatic,Islamabad,9850000.0
264,,,2014,"140,000 km",Petrol,1500 cc,Automatic,Lahore,3350000.0
265,Toyota,Corolla,2009,"143,600 km",Petrol,1300 cc,Manual,Lahore,2350000.0
266,Honda,Civic,2009,"162,000 km",Petrol,1800 cc,Automatic,Sargodha,2180000.0
267,Suzuki,Alto,2007,"160,000 km",Petrol,660 cc,Automatic,Islamabad,1800000.0
268,JAC,T9,2025,50 km,Diesel,2000 cc,Automatic,Islamabad,
269,Daihatsu,Cast,2021,"6,500 km",Petrol,660 cc,Automatic,Islamabad,3790000.0
270,Suzuki,Alto,2022,"67,000 km",Petrol,660 cc,Manual,Rawalpindi,2450000.0
271,Honda,City,2009,"200,000 km",Petrol,1300 cc,Manual,Islamabad,2525000.0
272,Honda,Civic,2023,"33,000 km",Petrol,1500 cc,Automatic,Islamabad,7850000.0
273,,,2017,"166,000 km",Hybrid,1496 cc,Automatic,Islamabad,5685000.0
274,Haval,H6,2024,"10,000 km",Hybrid,1500 cc,Automatic,Islamabad,
275,Toyota,Vitz,2010,"83,000 km",Petrol,1000 cc,Automatic,Rawalpindi,2390000.0
276,Toyota,Hilux,2021,"61,000 km",Diesel,2800 cc,Automatic,Islamabad,12600000.0
277,Honda,Civic,2018,"68,000 km",Petrol,1000 cc,Manual,Islamabad,4150000.0
278,Toyota,Prado,2013,"145,000 km",Petrol,4000 cc,Automatic,Gojra,19000000.0
279,Hyundai,Sonata,2024,"26,000 km",Petrol,2500 cc,Automatic,Islamabad,11000000.0
280,Nissan,Note,2020,"105,000 km",Hybrid,1198 cc,Automatic,Karachi,5000000.0
281,Toyota,Corolla,2018,"130,000 km",Petrol,1600 cc,Automatic,Karachi,4300000.0
282,Toyota,Corolla,2018,"88,588 km",Petrol,1800 cc,Automatic,Islamabad,5450000.0
283,Toyota,Land Cruiser,1987,417 km,Petrol,3400 cc,Automatic,Lahore,5500000.0
284,Honda,Civic,2012,"140,000 km",Petrol,1800 cc,Automatic,Faisalabad,2650000.0
